cleaned_summary,Sentiment
stint amazon,Neutral
software developer intern,Neutral
qaeii,Neutral
part time specialist,Neutral
great place technical writersprogramming writers,Positive
great place work,Positive
fancy sweatshop,Neutral
chaotic political environment lack accountability leadership,Neutral
great company,Positive
generally good place engineer beware specific pitfalls,Positive
getting big company still treats employees well,Neutral
great company terrible middle managers,Positive
fantastic place work,Positive
awesome office seattle,Positive
amazon luxembourg,Neutral
regret spent years life,Neutral
good place learn grow,Positive
great place work,Positive
would rather work lesser known company work bad manager microsoft,Negative
lot activity,Neutral
great place work,Positive
apple fam life,Neutral
get emotional realizing behalf apple enrich peoples lives,Neutral
warehouse sortation associate,Neutral
packer pack singles,Neutral
great place youngsters start careers many avenues growth,Positive
avoid unless desperate,Negative
great company technicals terrible intangibles,Positive
software engeener,Neutral
encouraging leadership youll get put,Neutral
love,Positive
amazing enviroment stability,Positive
working windows,Neutral
customer relations advisor,Neutral
cons pros,Neutral
amazing place prefer running walkingstanding,Positive
manage expectations exit strategy,Neutral
great company,Positive
good experience would recommend somebody wanted get good experience selling product,Positive
fastpaced supportive competitive environment,Positive
work hard fun make history,Neutral
creative amazon game studios,Neutral
ive done really well actively seeking exit strategy,Neutral
ruthless company cutthroat management could careless employee satisfaction,Negative
advice stay away unless work manager high level roles,Positive
top heavy management,Positive
amazing company,Positive
great company underwhelming group,Positive
would work,Neutral
great part time job college students offers career opportunities looking work full time,Positive
app review disgrace apple,Neutral
working itunes,Neutral
top arbeitgeber,Positive
super special im many ways st choice experienced professionals,Positive
great place start,Positive
good company engineers strong work culture company getting big hierarchical,Positive
fc area manager,Neutral
lots changes without field direction,Neutral
best company work,Positive
well run maybe ideal like wearing many hats,Positive
good,Positive
great company,Positive
awesome projects great coworkers decent worklife balance,Positive
severely long hours mcdonalds hourly wage,Neutral
virtual customer service agent ptflex,Neutral
great resume law diminishing returns career development sets time,Positive
google great many many ways become big company,Positive
amazon,Neutral
travail famille impossible,Negative
great place work average compensation,Positive
many limitations hype average salary,Positive
cloud support engineer,Neutral
ugh,Neutral
stay away global,Neutral
amazon morocco social media specialist customer service associate,Neutral
good years dont stay long,Positive
work work work byebye life,Neutral
good learning curve bad office politics,Neutral
good pay perks bad work culture,Neutral
good pay perks bad work culture,Neutral
amazon business,Neutral
work work work disappointing perks bonus,Negative
still great becoming corporate,Positive
great company start career,Positive
come want make impact,Neutral
work life balance nonexistent,Neutral
new hr rating system makes difficult manage,Negative
amazing place work,Positive
years,Neutral
great place work make history doesnt leave much time fun,Positive
solution specialist,Neutral
area manager,Neutral
great full fail,Positive
solid benefits variety teams products,Neutral
program manager,Neutral
constant reorgs laid months hired,Neutral
microsoft cares,Neutral
great place work like big companies,Positive
choose work big corporate microsoft one best options,Positive
microsoft development center serbia review,Neutral
microsoft services,Neutral
great job caveats,Positive
great company right team important,Positive
experience within amazon,Neutral
